Year,Sex,Age,Area,Value,Flags
"2013","Female","60-64 years","Pleasant Point",36,
"2013","Female","95-99 years","Seaview",0,
"2013","Female","80-84 years","Waimataitai",12,
"2013","Male","95-99 years","Winchester",,c
"2013","Female","20-24 years","Glenwood",36,
"2013","Female","100 years and over","Washdyke",0,
"2013","Male","65-69 years","Highfield",90,
"2013","Male","35-39 years","Glenwood",45,
"2013","Male","80-84 years","Ben Mcleod",,c
"2013","Female","65-69 years","Timaru Gardens",42,
"2013","Male","20-24 years","Gleniti",39,
"2013","Male","60-64 years","Winchester",12,
"2013","Male","0-4 years","Pleasant Point",54,
"2013","Male","45-49 years","Geraldine",69,
"2013","Female","75-79 years","Parkside",57,
"2013","Male","55-59 years","Geraldine",78,
"2013","Female","50-54 years","Pareora",12,
"2013","Male","55-59 years","Redruth",,c
"2013","Female","10-14 years","Inlet-Port Timaru",,c
"2013","Female","55-59 years","Glenwood",57,
"2013","Male","80-84 years","Marchwiel",60,
"2013","Male","45-49 years","Maori Park",33,
"2013","Female","35-39 years","Winchester",9,
"2013","Female","10-14 years","Washdyke",27,
"2013","Male","45-49 years","Levels",171,
"2013","Female","40-44 years","Waimataitai",36,
"2013","Male","75-79 years","Orari",63,
"2013","Male","100 years and over","Gleniti",0,
"2013","Female","90-94 years","Levels",3,
"2013","Male","95-99 years","Highfield",3,
"2013","Male","40-44 years","Marchwiel",105,
"2013","Female","85-89 years","Fraser Park",30,
"2013","Female","0-4 years","Parkside",78,
"2013","Male","50-54 years","Watlington",78,
"2013","Female","35-39 years","Waimataitai",27,
"2013","Female","85-89 years","Redruth",,c
"2013","Male","90-94 years","Pareora",,c
"2013","Female","70-74 years","Winchester",,c
"2013","Female","35-39 years","Highfield",93,
"2013","Male","30-34 years","Pleasant Point",21,
"2013","Female","50-54 years","Otipua Creek-Washdyke Flat",24,
"2013","Male","30-34 years","Orari",120,
"2013","Male","15-19 years","Pareora",18,
"2013","Male","50-54 years","Seaview",93,
"2013","Male","20-24 years","Temuka",87,
"2013","Female","85-89 years","Watlington",18,
"2013","Male","35-39 years","Pareora",12,
"2013","Male","80-84 years","Glenwood",24,
"2013","Female","30-34 years","Inlet-Port Timaru",,c
"2013","Male","50-54 years","Maori Park",42,
"2013","Male","60-64 years","Washdyke",45,
"2013","Female","50-54 years","Marchwiel",135,
"2013","Female","95-99 years","Fraser Park",3,
"2013","Female","95-99 years","Temuka",0,
"2013","Male","40-44 years","Otipua Creek-Washdyke Flat",18,
"2013","Male","10-14 years","Otipua Creek-Washdyke Flat",24,
"2013","Male","90-94 years","Otipua Creek-Washdyke Flat",0,
"2013","Female","5-9 years","Highfield",75,
"2013","Female","20-24 years","Winchester",,c
"2013","Female","25-29 years","Marchwiel",123,
"2013","Male","30-34 years","Timaru Gardens",45,
"2013","Male","45-49 years","Watlington",60,
"2013","Female","65-69 years","Gleniti",87,
"2013","Female","100 years and over","Winchester",,c
"2013","Female","60-64 years","Temuka",150,
"2013","Female","75-79 years","Waimataitai",36,
"2013","Male","60-64 years","Highfield",108,
"2013","Male","25-29 years","Orari",108,
"2013","Female","40-44 years","Inlet-Port Timaru",,c
"2013","Male","75-79 years","Fairview-Scarborough",6,
"2013","Male","80-84 years","Otipua Creek-Washdyke Flat",12,
